,mun,v_blanc,v_nul,PSOE,PP,Cs,ERC,VOX,JUNTS,PNV,PODEMOS,Bildu,BNG,CUP,atur,atur_m24,atur_25_44,atur_M45,atur_h,atur_d,pob_t,esp,euro,asia,ame,UE,oce_apa,afr,h,m,m19,e20_29,e30_39,e40_49,e50_59,e60_69,e70_79,M80,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni
21,2021,0.005923001,0.007897335,0.305034551,0.224086871,0.030602172,0,0.16189536,0,0,0.055281343,0,0,0,0.12677305,0.063199105,0.108803165,0.169907407,0.078653708,0.184943429,1307,0.879112471,0.019892884,0,0.005355777,0.019892884,0,0.095638868,0.524866106,0.475133894,0.122417751,0.127008416,0.123947972,0.146901301,0.150726855,0.101759755,0.088752869,0.090283091,9822,27.6,44.9,1327,2.24,40.9,9822,27.6,44.9,1327,2.24,40.9,9822,27.6,44.9,1327,2.24,40.9,9822,27.6,44.9,1327,2.24,40.9
22,2022,0.005865103,0,0.202346041,0.304985337,0.029325513,0,0.146627566,0,0,0.020527859,0,0,0,0.11827957,0.08908046,0.138418079,0.115633075,0.101478495,0.140681004,363,0.983471074,0.005509642,0,0.011019284,0.005509642,0,0,0.564738292,0.435261708,0.019283747,0.079889807,0.077134986,0.090909091,0.203856749,0.190082645,0.168044077,0.134986226,11548,27.1,56.8,349,2.09,43.1,11548,27.1,56.8,349,2.09,43.1,11548,27.1,56.8,349,2.09,43.1,11548,27.1,56.8,349,2.09,43.1
23,2023,0,0.013888889,0.327380952,0.301587302,0.035714286,0,0.111111111,0,0,0.035714286,0,0,0,0.132410107,0.046474359,0.13362069,0.157142857,0.078231293,0.204648526,572,0.956293706,0.02972028,0,0.01048951,0.02972028,0,0.003496503,0.526223776,0.473776224,0.04020979,0.089160839,0.094405594,0.11013986,0.178321678,0.145104895,0.143356643,0.155594406,10731,28.7,54.9,564,2.03,42.8,10731,28.7,54.9,564,2.03,42.8,10731,28.7,54.9,564,2.03,42.8,10731,28.7,54.9,564,2.03,42.8
24,2024,0.007140732,0.009818506,0.264504612,0.163344243,0.04790241,0,0.141029456,0,0,0.083011009,0,0,0,0.121148694,0.052341598,0.111914894,0.154421,0.084901579,0.159803922,4538,0.879021595,0.059277215,0.006170119,0.011679154,0.054869987,0,0.043851917,0.505509035,0.494490965,0.139048039,0.114367563,0.127589246,0.14874394,0.156456589,0.113265756,0.075804319,0.074482151,9842.791989,27.7,43.61562293,4519,2.561732684,27.19564063,9842.791989,27.7,43.61562293,4519,2.561732684,27.19564063,9842.791989,27.7,43.61562293,4519,2.561732684,27.19564063,9842.791989,27.7,43.61562293,4519,2.561732684,27.19564063
25,2025,0.006943499,0.014976174,0.192920354,0.200816882,0.054458816,0,0.17930565,0,0,0.065622873,0,0,0,0.146312662,0.083333333,0.146362587,0.169934074,0.093195987,0.204181259,9963,0.902338653,0.034628124,0.002710027,0.019873532,0.033122553,0,0.040449664,0.509183981,0.490816019,0.155174144,0.114322995,0.121148249,0.157281943,0.15336746,0.104988457,0.076181873,0.063936565,9561.133185,28.2,42.2840783,9911,2.549054586,27.61045303,9561.133185,28.2,42.2840783,9911,2.549054586,27.61045303,9561.133185,28.2,42.2840783,9911,2.549054586,27.61045303,9561.133185,28.2,42.2840783,9911,2.549054586,27.61045303
26,2026,0.004796163,0.013189448,0.387290168,0.17146283,0.039568345,0,0.081534772,0,0,0.071942446,0,0,0,0.11730431,0.025510204,0.115497076,0.160276074,0.058087028,0.185606061,1181,0.83403895,0.131244708,0,0.022861981,0.128704488,0,0.011854361,0.50550381,0.49449619,0.143099069,0.129551228,0.121930567,0.134631668,0.150719729,0.085520745,0.084674005,0.092294666,8235,25.4,43.7,1202,2.74,24.6,8235,25.4,43.7,1202,2.74,24.6,8235,25.4,43.7,1202,2.74,24.6,8235,25.4,43.7,1202,2.74,24.6
27,2027,0.003649635,0.02189781,0.270072993,0.273722628,0.047445255,0,0.113138686,0,0,0.02189781,0,0,0,0.110683761,0.073717949,0.089552239,0.133986928,0.05351682,0.183139535,324,0.978395062,0.012345679,0,0.009259259,0.012345679,0,0,0.537037037,0.462962963,0.083333333,0.089506173,0.098765432,0.12962963,0.169753086,0.12962963,0.132716049,0.12345679,10946,30.4,50,311,2.27,39.4,10946,30.4,50,311,2.27,39.4,10946,30.4,50,311,2.27,39.4,10946,30.4,50,311,2.27,39.4
28,2028,0,0,0.396396396,0.198198198,0,0,0.108108108,0,0,0.018018018,0,0,0,0.169831224,0.027777778,0.077777778,0.218181818,0.202380952,0.132882883,123,0.975609756,0.016260163,0,0.008130081,0.016260163,0,0,0.520325203,0.479674797,0.024390244,0.081300813,0.056910569,0.105691057,0.292682927,0.138211382,0.097560976,0.178861789,9825,29.5,57,131,1.76,44.8,9825,29.5,57,131,1.76,44.8,9825,29.5,57,131,1.76,44.8,9825,29.5,57,131,1.76,44.8
29,2029,0.00390039,0.01290129,0.232823282,0.160216022,0.066006601,0,0.137113711,0,0,0.083408341,0,0,0,0.108952216,0.073198198,0.096029905,0.133252165,0.067269076,0.158826505,4206,0.952211127,0.025439848,0.001188778,0.011174513,0.025202092,0.000237756,0.009747979,0.52211127,0.47788873,0.14978602,0.103185925,0.151212553,0.189253447,0.151212553,0.089871612,0.05872563,0.064907275,10751.94037,28.05,42.07037749,4159,2.438499639,33.69822073,10751.94037,28.05,42.07037749,4159,2.438499639,33.69822073,10751.94037,28.05,42.07037749,4159,2.438499639,33.69822073,10751.94037,28.05,42.07037749,4159,2.438499639,33.69822073
30,2030,0.005425568,0.012207528,0.324177687,0.14920312,0.03730078,0,0.143099356,0,0,0.05256019,0,0,0,0.198511256,0.096738159,0.181091618,0.248047485,0.137192536,0.263291517,3585,0.982147838,0.005299861,0.00223152,0.006694561,0.005020921,0,0.00362622,0.49846583,0.50153417,0.131380753,0.119944212,0.111854951,0.141980474,0.159832636,0.117991632,0.081171548,0.090934449,9487.104308,28.85,45.31893424,3528,2.374319728,32.57307256,9487.104308,28.85,45.31893424,3528,2.374319728,32.57307256,9487.104308,28.85,45.31893424,3528,2.374319728,32.57307256,9487.104308,28.85,45.31893424,3528,2.374319728,32.57307256
31,2031,0.007476636,0.009345794,0.379439252,0.18317757,0.039252336,0,0.097196262,0,0,0.035514019,0,0,0,0.24933687,0.038359788,0.260416667,0.308993399,0.169802867,0.326788831,643,0.968895801,0.00466563,0,0.00933126,0.00311042,0,0.017107309,0.493001555,0.506998445,0.101088647,0.090202177,0.093312597,0.124416796,0.152410575,0.132192846,0.116640747,0.135303266,9419,31.9,49.4,629,2.18,42.4,9419,31.9,49.4,629,2.18,42.4,9419,31.9,49.4,629,2.18,42.4,9419,31.9,49.4,629,2.18,42.4
32,2032,0.007722008,0.019305019,0.32046332,0.127413127,0.015444015,0,0.088803089,0,0,0.123552124,0,0,0,0.171078431,0.108974359,0.124338624,0.210992908,0.142857143,0.216666667,297,0.949494949,0.033670034,0,0.013468013,0.033670034,0,0.003367003,0.565656566,0.434343434,0.074074074,0.080808081,0.094276094,0.127946128,0.178451178,0.148148148,0.144781145,0.141414141,10309,29.1,54.4,293,1.84,50.5,10309,29.1,54.4,293,1.84,50.5,10309,29.1,54.4,293,1.84,50.5,10309,29.1,54.4,293,1.84,50.5
33,2033,0.006437768,0.019849785,0.238197425,0.225858369,0.030042918,0,0.11748927,0,0,0.07832618,0,0,0,0.170416667,0.083914053,0.14422043,0.22967773,0.094194541,0.260572988,2489,0.885897951,0.032944958,0.000401768,0.011651266,0.032944958,0,0.069104058,0.525110486,0.474889514,0.137806348,0.122539172,0.104057855,0.162314182,0.149457613,0.09762957,0.090799518,0.07955002,8774.133333,30.2,43.95733333,2475,2.441066667,30.69866667,8774.133333,30.2,43.95733333,2475,2.441066667,30.69866667,8774.133333,30.2,43.95733333,2475,2.441066667,30.69866667,8774.133333,30.2,43.95733333,2475,2.441066667,30.69866667
34,2034,0.004535147,0.004535147,0.34164777,0.17989418,0.034769463,0,0.126228269,0,0,0.076341648,0,0,0,0.12866784,0.087099812,0.106111111,0.163064833,0.082485876,0.178571429,1792,0.860491071,0.111607143,0,0.022879464,0.110491071,0,0.005022321,0.510044643,0.489955357,0.130580357,0.118303571,0.119977679,0.151227679,0.153459821,0.106026786,0.0859375,0.091517857,9664,28.7,45.3,1814,2.49,31.3,9664,28.7,45.3,1814,2.49,31.3,9664,28.7,45.3,1814,2.49,31.3,9664,28.7,45.3,1814,2.49,31.3
35,2035,0.002569373,0.010791367,0.27286742,0.19938335,0.039054471,0,0.187564234,0,0,0.04676259,0,0,0,0.117403865,0.097587719,0.11391129,0.127555873,0.076951131,0.166117699,2512,0.937101911,0.044984076,0,0.005971338,0.044984076,0,0.011942675,0.51910828,0.48089172,0.162022293,0.105493631,0.153264331,0.175955414,0.137738854,0.105095541,0.070063694,0.052149682,10054.58403,27.6,41.33500998,2505,2.574267465,26.72674651,10054.58403,27.6,41.33500998,2505,2.574267465,26.72674651,10054.58403,27.6,41.33500998,2505,2.574267465,26.72674651,10054.58403,27.6,41.33500998,2505,2.574267465,26.72674651
36,2037,0.002961286,0.006488699,0.196533554,0.162522319,0.043374124,0,0.175586814,0,0,0.047119279,0,0,0,0.154795203,0.086243668,0.144348993,0.194518202,0.097638575,0.214660677,30306,0.920345806,0.016267406,0.001748829,0.027123342,0.015673464,9.90E-05,0.034415627,0.500296971,0.499703029,0.14663763,0.122483997,0.133933874,0.162014123,0.150531248,0.095360655,0.069854154,0.057909325,9083.02539,30.1,41.66063241,30012,2.639525523,28.4486672,9083.02539,30.1,41.66063241,30012,2.639525523,28.4486672,9083.02539,30.1,41.66063241,30012,2.639525523,28.4486672,9083.02539,30.1,41.66063241,30012,2.639525523,28.4486672
37,2038,0,0.015267176,0.251908397,0.278625954,0.026717557,0,0.152671756,0,0,0.026717557,0,0,0,0.136085627,0.074074074,0.094444444,0.177442529,0.066810345,0.214869281,326,0.865030675,0.082822086,0,0,0.082822086,0,0.052147239,0.512269939,0.487730061,0.09202454,0.119631902,0.098159509,0.165644172,0.199386503,0.104294479,0.104294479,0.09202454,10402,30.5,47.4,325,2.3,31.9,10402,30.5,47.4,325,2.3,31.9,10402,30.5,47.4,325,2.3,31.9,10402,30.5,47.4,325,2.3,31.9
38,2039,0.008465608,0.011640212,0.340740741,0.265608466,0.032804233,0,0.068783069,0,0,0.058201058,0,0,0,0.097202123,0.071782178,0.072115385,0.124747475,0.045698925,0.157262278,1158,0.949913644,0.020725389,0,0.011226252,0.020725389,0,0.018134715,0.519861831,0.480138169,0.120034542,0.091537133,0.106217617,0.14507772,0.154576857,0.112262522,0.125215889,0.098445596,10320,28.9,48.2,1135,2.45,30.8,10320,28.9,48.2,1135,2.45,30.8,10320,28.9,48.2,1135,2.45,30.8,10320,28.9,48.2,1135,2.45,30.8
