"municipio","Votosenblanco","Votosnulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","atur","aturhomesmenors24","aturhomes25_44","aturhomesmes45","aturdonesmenors24","aturdones25_44","aturdonesmajors45","aturagricultura","aturindustria","aturconstruccio","aturserveis","americana","asiatica","europeossinespanyoles","totalpoblacion","españoles","totalunioneuropea","ambosexostotalamericana","totaloceaniayapatridas","totalhombres","totalextranjeros","totalafrica","totalasia","totalmujeres","mujeresespanyolas","hombresespanyoles","menores","edad20_29","edad30_39","edad40_49","edad50_59","edad60_69","edad70_79","mayores80"
48083,21,35,1176,181,35,0,86,0,1373,1316,540,0,0,547,24,98,114,17,147,147,4,64,59,357,130,14,48,8395,8136,42,130,2,4091,259,65,14,4304,4165,3971,1020,707,1123,1402,1291,1167,744,573
48084,79,97,4281,960,163,0,319,0,3693,3143,1458,0,0,2253,75,400,596,86,510,586,78,207,229,1448,831,109,290,27296,25280,265,831,14,13195,2016,772,109,14101,13144,12136,3227,2269,3109,4451,4388,3372,3027,2361
48085,51,28,864,335,74,0,110,0,3118,1495,1543,0,0,638,24,124,154,20,131,185,2,63,43,481,276,46,197,13878,13312,178,276,3,6844,566,44,46,7034,6745,6567,2354,1187,1872,2679,2133,1623,874,498
48086,5,13,152,47,11,0,27,0,548,292,262,0,0,114,1,22,28,2,28,33,1,11,8,85,35,3,74,2527,2407,72,35,0,1247,120,8,3,1280,1212,1195,363,180,312,454,404,323,205,197
48087,0,3,54,22,1,0,3,0,186,30,35,0,0,28,1,3,10,1,5,8,2,3,3,19,8,0,9,501,482,8,8,0,265,19,2,0,236,224,258,43,35,71,75,96,79,42,45
48088,0,0,5,1,0,0,0,0,22,5,59,0,0,7,0,2,2,NA,2,1,1,4,NA,2,3,1,4,160,152,4,3,0,83,8,0,1,77,74,78,18,11,24,30,32,18,14,8
48089,7,6,261,109,32,0,37,0,1097,469,522,0,0,217,10,41,59,6,51,50,2,25,17,156,69,10,55,4456,4267,51,69,0,2236,189,55,10,2220,2128,2139,742,367,669,851,650,456,337,191
48090,28,51,905,243,35,0,87,0,1776,664,494,0,0,581,15,81,110,19,180,176,6,55,29,388,141,14,198,7697,7148,197,141,14,3717,549,182,14,3980,3689,3459,1099,590,948,1296,1171,920,683,669
48091,5,1,69,16,3,0,4,0,294,66,296,0,0,50,5,9,3,3,14,16,0,13,2,28,20,2,39,1366,1285,37,20,0,685,81,20,2,681,642,643,181,128,193,198,201,227,119,68
48092,3,6,46,16,2,0,16,0,319,77,124,0,0,50,1,9,10,3,13,14,4,9,2,31,10,0,26,1067,1016,23,10,0,508,51,15,0,559,535,481,136,92,127,170,203,130,79,87
48093,5,3,48,24,2,0,6,0,270,55,251,0,0,51,1,6,9,6,14,15,0,5,5,33,24,1,65,1201,1080,64,24,1,578,121,30,1,623,566,514,181,104,171,214,177,130,86,72
48094,7,13,160,46,5,0,18,0,1025,177,743,0,0,218,12,37,37,8,74,50,5,38,11,123,87,66,146,4284,3811,146,87,11,2107,473,163,66,2177,1952,1859,695,361,546,723,623,577,346,232
48095,13,13,292,113,17,0,11,0,456,261,390,0,0,106,2,19,20,5,37,23,1,26,4,64,38,0,64,3043,2834,64,38,1,1526,209,106,0,1517,1411,1423,482,211,426,551,411,374,288,172
48096,33,46,749,192,28,0,81,0,2332,769,593,0,0,579,16,97,121,14,144,187,22,59,44,390,113,25,323,8447,7761,311,113,6,4189,686,219,25,4258,3939,3822,1237,693,1137,1387,1353,1164,684,478
48097,6,4,134,40,2,0,16,0,315,147,215,0,0,97,7,15,23,6,23,23,2,11,5,63,23,0,21,1614,1556,21,23,0,805,58,14,0,809,776,780,201,156,187,283,260,189,133,113
48901,16,21,747,210,42,0,80,0,1371,654,524,0,0,236,6,38,55,11,62,64,2,28,23,171,138,10,45,6631,6394,37,138,0,3256,237,44,10,3375,3260,3134,1103,466,958,1338,910,600,594,357
48902,88,92,2951,749,133,0,286,0,4373,2324,1628,0,0,1308,37,231,313,36,342,349,23,137,108,924,1041,91,315,24350,22684,291,1041,2,11808,1666,217,91,12542,11681,11003,3382,1947,3081,4644,3511,2915,2306,1513
48903,4,5,94,120,11,0,27,0,779,157,155,0,0,65,0,12,15,0,15,23,2,8,4,49,54,26,37,2433,2169,34,54,0,1239,264,147,26,1194,1126,1043,331,219,242,412,342,279,187,177
48904,18,22,303,180,23,0,27,0,1229,364,376,0,0,207,11,29,48,5,47,67,1,37,14,134,87,6,76,4502,4291,73,87,1,2173,211,41,6,2329,2220,2071,662,407,478,744,774,477,351,388
48905,12,12,218,60,8,0,21,0,818,218,401,0,0,128,0,21,30,2,41,34,2,18,15,88,142,9,47,3260,2993,40,142,0,1608,267,69,9,1652,1518,1475,491,240,398,614,447,404,299,248
48906,2,2,29,12,4,0,4,0,285,40,169,0,0,45,0,11,10,2,6,16,1,11,3,26,16,0,30,920,871,30,16,0,449,49,3,0,471,444,427,107,93,103,136,140,156,83,67
48907,0,1,2,0,0,0,0,0,157,18,95,0,0,9,1,2,2,0,3,1,NA,2,2,3,6,3,8,441,423,5,6,0,220,18,1,3,221,212,211,77,30,43,76,73,45,44,33
48908,1,2,10,0,2,0,0,0,118,7,71,0,0,11,0,2,3,0,1,5,NA,2,1,7,3,0,2,308,303,2,3,0,155,5,0,0,153,149,154,44,28,35,38,70,40,19,15
48909,0,1,0,0,0,0,0,0,58,8,91,0,0,7,NA,1,1,NA,3,2,1,NA,NA,6,4,1,5,253,243,5,4,0,126,10,0,1,127,120,123,37,22,27,42,40,47,14,15
48910,11,10,381,140,15,0,44,0,604,247,491,0,0,172,6,36,37,6,39,48,2,40,5,105,68,8,84,3662,3323,73,68,0,1810,339,179,8,1852,1692,1631,521,295,435,634,537,460,371,271
48911,1,1,0,4,0,0,0,0,106,19,171,0,0,9,1,2,1,NA,3,2,NA,4,0,3,6,0,3,477,468,3,6,0,249,9,0,0,228,221,247,66,44,55,67,79,66,42,30
48912,8,14,263,57,15,0,34,0,647,264,368,0,0,198,7,30,51,7,57,46,11,17,20,114,45,3,57,2907,2753,57,45,2,1427,154,47,3,1480,1395,1358,411,229,388,548,411,364,272,185
48913,8,9,85,28,5,0,13,0,437,142,168,0,0,101,5,17,26,5,24,24,1,14,10,69,28,0,15,1490,1443,13,28,0,785,47,4,0,705,675,768,197,125,225,273,235,178,110,94
48914,0,1,3,0,0,0,0,0,151,10,111,0,0,8,0,2,2,NA,3,1,NA,2,0,5,8,0,6,418,401,6,8,0,203,17,3,0,215,207,194,66,25,63,52,63,61,37,37
48915,0,2,5,5,0,0,0,0,102,6,125,0,0,7,1,0,1,0,2,3,NA,1,NA,6,2,0,3,413,407,3,2,0,219,6,1,0,194,191,216,60,35,49,62,64,69,37,31
49002,0,3,13,10,11,0,1,0,0,5,0,0,0,3,NA,NA,NA,NA,1,2,NA,NA,NA,3,0,0,1,61,60,1,0,0,30,1,0,0,31,31,29,1,2,10,7,4,11,8,17
49003,5,4,149,231,26,0,95,0,0,18,0,0,0,40,1,9,15,1,4,10,3,3,9,25,9,0,111,1076,943,110,9,0,560,133,13,0,516,461,482,83,89,128,158,160,154,142,132
49004,3,3,14,34,5,0,5,0,0,7,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,117,117,0,0,0,64,0,0,0,53,53,64,5,4,13,10,14,14,25,30
49005,1,0,26,24,4,0,25,0,0,0,0,0,0,4,2,NA,0,NA,1,1,NA,1,NA,3,0,0,3,129,126,2,0,0,74,3,0,0,55,53,73,7,9,10,14,21,15,25,27
49006,3,3,31,33,8,0,12,0,0,7,0,0,0,12,2,0,4,1,1,4,0,0,NA,10,0,0,0,148,148,0,0,0,78,0,0,0,70,70,78,5,10,10,21,31,18,21,30
49007,7,8,105,64,16,0,25,0,0,16,0,0,0,11,2,2,3,NA,2,2,1,1,2,7,0,0,2,407,405,1,0,0,210,2,0,0,197,195,210,32,25,43,41,44,59,54,100
49008,1,4,99,76,8,0,68,0,0,6,0,0,0,24,2,4,13,NA,NA,5,3,3,2,15,3,0,0,452,448,0,3,0,240,4,1,0,212,208,240,15,32,32,39,77,74,55,120
